2016-05-25 03:56:49,599 | INFO | DefaultCamelContext.java 3164 | Route: route1 started and consuming from: Endpoint[timer://timer1?period=2s]
2016-05-25 03:56:49,602 | INFO | DefaultCamelContext.java 2453 | Total 1 routes, of which 1 is started.
2016-05-25 03:56:49,605 | INFO | DefaultCamelContext.java 2454 | Apache Camel 2.15.2 (CamelContext: camel-1) started in 0.596 seconds
2016-05-25 03:56:50,621 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:56:50,653 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:56:50,655 | INFO | MarkerIgnoringBase.java 95 | result in body::[{ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}]
2016-05-25 03:56:50,663 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:56:52,609 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:56:52,628 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:56:52,644 | INFO | MarkerIgnoringBase.java 95 | result in body::[{ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}]
2016-05-25 03:56:52,644 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:56:54,619 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:56:54,639 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:56:54,639 | INFO | MarkerIgnoringBase.java 95 | result in body::[{ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}]
2016-05-25 03:56:54,639 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:56:56,619 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:56:56,647 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:56:56,648 | INFO | MarkerIgnoringBase.java 95 | result in body::[{ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}]
2016-05-25 03:56:56,650 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:56:58,628 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:56:58,646 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:56:58,646 | INFO | MarkerIgnoringBase.java 95 | result in body::[{ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}]
2016-05-25 03:56:58,646 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:57:00,629 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:57:00,653 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:57:00,654 | INFO | MarkerIgnoringBase.java 95 | result in body::[{ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}]
2016-05-25 03:57:00,657 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:57:02,629 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:57:02,651 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:57:02,652 | INFO | MarkerIgnoringBase.java 95 | result in body::[{ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}]
2016-05-25 03:57:02,655 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
